horizon,day,slot,index,feature,coef_unified_kernel,coef_legacy_separate,difference,abs_difference,relative_abs_diff,sigma2_primary,sigma2_legacy,n_obs_primary,n_obs_legacy
1,1,1,73,A*active_status_fraction_7days,-0.012238042455178021,-0.007932918380381921,0.0043051240747961,0.0043051240747961,0.35178208365951247,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,74,A*recent_burden,-0.0028153275387898086,-0.001241508049227545,0.0015738194895622637,0.0015738194895622637,0.5590182555592742,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,75,A*salience_yesterday,0.0020923903849336925,-1.4070942863217559e-05,-0.0021064613277969103,0.0021064613277969103,1.0067248172064525,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,76,A*walk_interaction_7d,0.025424729236077314,-0.009584238179418903,-0.035008967415496216,0.035008967415496216,1.3769652014944178,0.0010163739187037512,0.000296816011454261,319,319
2,1,2,0,intercept,0.09016072492480888,0.1616802512297179,0.07151952630490903,0.07151952630490903,0.442351652480382,0.007795153315238927,0.002326001457118403,319,319
2,1,2,1,weekday_vs_weekend,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,2,slot_pm,0.0901607249248109,0.1616802512297109,0.07151952630489998,0.07151952630489998,0.44235165248034525,0.007795153315238927,0.002326001457118403,319,319
2,1,2,3,E_w,-0.006515655183464015,-0.012188625207356774,-0.005672970023892759,0.005672970023892759,0.4654314926730772,0.007795153315238927,0.002326001457118403,319,319
2,1,2,4,weekday_vs_weekend*E_w,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,5,slot_pm*E_w,-0.0065156551834639875,-0.012188625207356973,-0.005672970023892986,0.005672970023892986,0.46543149267308825,0.007795153315238927,0.002326001457118403,319,319
2,1,2,6,b_hat,0.3233645704391011,0.4617858709242618,0.13842130048516071,0.13842130048516071,0.2997521344862961,0.007795153315238927,0.002326001457118403,319,319
2,1,2,7,weekday_vs_weekend*b_hat,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,8,slot_pm*b_hat,0.3233645704391097,0.4617858709242535,0.13842130048514378,0.13842130048514378,0.29975213448626487,0.007795153315238927,0.002326001457118403,319,319
2,1,2,9,b_tilde,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,10,M_Y_day1_fourSC_morning,-0.01591280709033419,-0.01221518532908745,0.003697621761246739,0.003697621761246739,0.2323676608568177,0.007795153315238927,0.002326001457118403,319,319
2,1,2,11,M_Y_day1_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,12,M_Y_day1_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,13,M_Y_day2_fourSC_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,14,M_Y_day2_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
