Host: holy7c18103.rc.fas.harvard.edu
Job ID: 21999820  Task ID: 35
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 35: seed=34 (N_EXPERIMENTS=100)
  Experiment 0, draw 34/100, user 251, exp_seed 34, draw_seed 4249203755 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 35/100, user 118, exp_seed 34, draw_seed 3492737557 ... CAE means: micro_g0=-0.145, micro_g05=-0.146, mtd_g0=-0.144, mtd_g05=-0.144, rs_g0=-0.144, rs_g05=-0.143, rs_mtd_g0=-0.144, rs_mtd_g05=-0.147, never_send=-0.147, always_send=-0.140, random_send=-0.146
  Experiment 0, draw 36/100, user 188, exp_seed 34, draw_seed 1423712171 ... CAE means: micro_g0=0.953, micro_g05=0.950, mtd_g0=0.927, mtd_g05=0.927, rs_g0=0.939, rs_g05=0.936, rs_mtd_g0=0.916, rs_mtd_g05=0.978, never_send=0.869, always_send=0.921, random_send=0.858
  Experiment 0, draw 37/100, user 138, exp_seed 34, draw_seed 1545985588 ... CAE means: micro_g0=-0.560, micro_g05=-0.651, mtd_g0=-0.758, mtd_g05=-0.687, rs_g0=-0.831, rs_g05=-0.857, rs_mtd_g0=-0.654, rs_mtd_g05=-0.683, never_send=-0.691, always_send=-0.700, random_send=-0.680
  Experiment 0, draw 38/100, user 151, exp_seed 34, draw_seed 1463258802 ... CAE means: micro_g0=0.730, micro_g05=0.727, mtd_g0=0.679, mtd_g05=0.722, rs_g0=0.719, rs_g05=0.705, rs_mtd_g0=0.687, rs_mtd_g05=0.695, never_send=0.615, always_send=0.815, random_send=0.698
  Experiment 0, draw 39/100, user 184, exp_seed 34, draw_seed 3766353740 ... CAE means: micro_g0=-0.556, micro_g05=-0.562, mtd_g0=-0.543, mtd_g05=-0.557, rs_g0=-0.567, rs_g05=-0.563, rs_mtd_g0=-0.550, rs_mtd_g05=-0.582, never_send=-0.451, always_send=-0.622, random_send=-0.552
  Experiment 0, draw 40/100, user 170, exp_seed 34, draw_seed 120576814 ... CAE means: micro_g0=0.460, micro_g05=0.473, mtd_g0=0.467, mtd_g05=0.455, rs_g0=0.458, rs_g05=0.467, rs_mtd_g0=0.452, rs_mtd_g05=0.462, never_send=0.447, always_send=0.457, random_send=0.455
  Experiment 0, draw 41/100, user 170, exp_seed 34, draw_seed 1611775813 ... CAE means: micro_g0=0.474, micro_g05=0.464, mtd_g0=0.470, mtd_g05=0.463, rs_g0=0.471, rs_g05=0.472, rs_mtd_g0=0.476, rs_mtd_g05=0.463, never_send=0.448, always_send=0.466, random_send=0.460
  Experiment 0, draw 42/100, user 118, exp_seed 34, draw_seed 3055412953 ... CAE means: micro_g0=-0.149, micro_g05=-0.150, mtd_g0=-0.148, mtd_g05=-0.151, rs_g0=-0.149, rs_g05=-0.147, rs_mtd_g0=-0.149, rs_mtd_g05=-0.149, never_send=-0.152, always_send=-0.143, random_send=-0.148
  Experiment 0, draw 43/100, user 118, exp_seed 34, draw_seed 1022461586 ... CAE means: micro_g0=-0.144, micro_g05=-0.144, mtd_g0=-0.144, mtd_g05=-0.143, rs_g0=-0.144, rs_g05=-0.147, rs_mtd_g0=-0.142, rs_mtd_g05=-0.142, never_send=-0.147, always_send=-0.137, random_send=-0.146
