horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs,ci_low,ci_high,ci_level,boot_se
1,1,1,65,A*slot_pm*E_w,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,66,A*weekday_vs_weekend*CAE_avg_lastweek,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,67,A*slot_pm*CAE_avg_lastweek,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,68,A*yesterday_step_count,-0.0020078581136987665,0.0009944003174101935,290,-0.024504237302512784,0.012752429912137766,0.95,0.009294108786585587
1,1,1,69,A*ema_step_count,0.003342993395244424,0.0009944003174101935,290,-0.02513715391869406,0.03176563278448394,0.95,0.014462791397214812
1,1,1,70,A*prior2hour_step_count,-0.013152246973640655,0.0009944003174101935,290,-0.03159688403389578,0.011920862977185386,0.95,0.010430442117203653
1,1,1,71,A*previous7days_rpa,0.018775841238345786,0.0009944003174101935,290,-0.03957002979810811,0.05936396511951116,0.95,0.02589752150977937
1,1,1,72,A*active_status_fraction_7days,-0.00881069933707327,0.0009944003174101935,290,-0.05085886771468913,0.023163668624205734,0.95,0.01938117504508199
1,1,1,73,A*recent_burden,-0.00159399380999785,0.0009944003174101935,290,-0.019730371032279207,0.013655085540437274,0.95,0.008146098986112547
1,1,1,74,A*salience_yesterday,0.002026318377002344,0.0009944003174101935,290,-0.02196934873873028,0.016566733780539054,0.95,0.010065560826231681
1,1,1,75,A*walk_interaction_7d,0.030483164748275674,0.0009944003174101935,290,-0.024003064827188735,0.09061924349650627,0.95,0.029803937564429984
2,1,2,0,intercept,0.12860616576229283,0.006999106189993113,290,0.11283561028134119,0.3486454607330101,0.95,0.059925769529302855
2,1,2,1,weekday_vs_weekend,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,2,slot_pm,0.12860616576229186,0.006999106189993113,290,0.11283561028134668,0.3486454607330292,0.95,0.059925769529302876
2,1,2,3,E_w,-0.0062498791300589895,0.006999106189993113,290,-0.037172974874891164,0.025562307468772562,0.95,0.01570213433424159
2,1,2,4,weekday_vs_weekend*E_w,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,5,slot_pm*E_w,-0.006249879130058989,0.006999106189993113,290,-0.037172974874892545,0.025562307468771594,0.95,0.015702134334241585
2,1,2,6,CAE_avg_lastweek,0.32313084970571937,0.006999106189993113,290,0.21155657517107246,0.387741037577572,0.95,0.045450605835279295
2,1,2,7,weekday_vs_weekend*CAE_avg_lastweek,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,8,slot_pm*CAE_avg_lastweek,0.3231308497057148,0.006999106189993113,290,0.2115565751710754,0.3877410375775774,0.95,0.045450605835279184
2,1,2,9,M_Y_day1_fourSC_morning,-0.0056997355098729755,0.006999106189993113,290,-0.06164834278543065,0.06306055011596204,0.95,0.032510506287437735
2,1,2,10,M_Y_day1_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,11,M_Y_day1_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,12,M_Y_day2_fourSC_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,13,M_Y_day2_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,14,M_Y_day2_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,15,M_Y_day3_fourSC_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,16,M_Y_day3_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,17,M_Y_day3_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,18,M_Y_day4_fourSC_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,19,M_Y_day4_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,20,M_Y_day4_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,21,M_Y_day5_fourSC_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
